id,task,truth
255,"Does the following tweet have positive sentiment to the Apple company ? 
Dear @apple your staff at the Little Rock store answered my first 3 questions with ""I don't know."" they weren't hard questions.",0
256,"Does the following tweet have positive sentiment to the Apple company ? 
@apple my iPhone is charging very slowly!!!!!",0
257,"Does the following tweet have positive sentiment to the Twitter company ? 
#Retweets section of my #twitter account has not been working for 17 hours! Is Everyone else having this problem? #RT #RTs",0
258,"Does the following tweet have positive sentiment to the Apple company ? 
The line at the @apple is just STUPID",0
259,"Does the following tweet have positive sentiment to the Microsoft company ? 
Thanks again #microsoft for wasting more of my time. Apple&gt;windows http://t.co/GNy9G07B",0
260,"Does the following tweet have positive sentiment to the Microsoft company ? 
I so wish that #SteveBallmer from #Microsoft would have to swallow his words about #Yahoo: http://t.co/XSJGIfop",0
261,"Does the following tweet have positive sentiment to the Apple company ? 
Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.",0
262,"Does the following tweet have positive sentiment to the Microsoft company ? 
#microsoft fail #notresponding for fcucks sake  http://t.co/lCXa9q8P",0
263,"Does the following tweet have positive sentiment to the Google company ? 
New calendar app with pinch to zoom capabilities. Far superior to the current one! #Google #Android #ICS",1
264,"Does the following tweet have positive sentiment to the Apple company ? 
The nice @apple tech support guy fixed my iTouch =D",1
265,"Does the following tweet have positive sentiment to the Apple company ? 
@apple, your new ""Save a Version"" function in Pages is absolutely the most awful, interrupting, counter-intuitive piece of crap in the world",0
266,"Does the following tweet have positive sentiment to the Apple company ? 
screw you @apple iOS 5. I can't download this crap, and I'm tired of trying. Get this problem figured out about my connection timing out",0
267,"Does the following tweet have positive sentiment to the Apple company ? 
Bummer!  My @Yahoo! iPad fantasy football app keeps crashing; not sure if it's the app or the new @apple iOS 5. Only two apps running.",0
268,"Does the following tweet have positive sentiment to the Apple company ? 
. @apple & @AT&T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!",0
269,"Does the following tweet have positive sentiment to the Apple company ? 
@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!",1
270,"Does the following tweet have positive sentiment to the Google company ? 
Sorry #Apple #Google and #Samsung just made you look bad. #Android is king",1
271,"Does the following tweet have positive sentiment to the Google company ? 
I love Ice Cream Sandwich :) #Android #Google #Samsung",1
272,"Does the following tweet have positive sentiment to the Google company ? 
@kursed #Google is terrible at presentations. Hated the terrible camera interference from the huge screen behind the speakers. #headache",0
273,"Does the following tweet have positive sentiment to the Twitter company ? 
Im gonna need #Twitter to get all these problems fixed ASAP.",0
274,"Does the following tweet have positive sentiment to the Microsoft company ? 
Ouch!!! #Microsoft #Azure #fail http://t.co/LJpGVZJT",0
275,"Does the following tweet have positive sentiment to the Twitter company ? 
Anyone in #twitter land know if retweets are broken? Haven't seen any since Tuesday.",0
276,"Does the following tweet have positive sentiment to the Apple company ? 
As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad",0
277,"Does the following tweet have positive sentiment to the Microsoft company ? 
Wilth #Accessibility mode on in #SharePoint 2010, it seems that #Workflows sometimes do not start automatically #SP2010 #Workflow #Microsoft",0
278,"Does the following tweet have positive sentiment to the Microsoft company ? 
How #Apple eclipsed #Microsoft http://t.co/1fH0dFGj from @guardian",0
279,"Does the following tweet have positive sentiment to the Google company ? 
have to finish faster the only way is to google it!!!! #google :D",1
280,"Does the following tweet have positive sentiment to the Apple company ? 
Thanks to @Apple my new iMac is a brick. I cannot re-install Lion and I cannot purchase it because it was installed by the former owner.",0
281,"Does the following tweet have positive sentiment to the Apple company ? 
&lt;3 #ios5 @apple",1
282,"Does the following tweet have positive sentiment to the Google company ? 
The new android #Nexus phone makes the #iPhone look like a cheap toy at dollar store! #tcot #android #google #RealEstate @Burkepatch",1
283,"Does the following tweet have positive sentiment to the Apple company ? 
@nansen Man, that sux! @apple io5 upgrade a total #fail for you!",0
284,"Does the following tweet have positive sentiment to the Twitter company ? 
dear @twitter / #twitter FIX YOUR SHIT. we cant see our retweets or mentions!",0
285,"Does the following tweet have positive sentiment to the Apple company ? 
What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable.",0
286,"Does the following tweet have positive sentiment to the Microsoft company ? 
http://t.co/5oK4XcOw Microsoft !! i hate you again !! #microsoft",0
287,"Does the following tweet have positive sentiment to the Apple company ? 
An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today.",0
288,"Does the following tweet have positive sentiment to the Apple company ? 
This does not bode well. After charging all night, my @Apple iPhone 4S has 25% battery after only 3hr off charger with no calls & light use",0
289,"Does the following tweet have positive sentiment to the Apple company ? 
See @Apple, that what's happen when you release iPhone 4S with same crappy design as the old phone!",0
290,"Does the following tweet have positive sentiment to the Twitter company ? 
@LuCkY_2_HaVe #Twitter",1
291,"Does the following tweet have positive sentiment to the Microsoft company ? 
How #Apple eclipsed #Microsoft http://t.co/IJ6XyDp3  #sun rise #in via @guardian",0
292,"Does the following tweet have positive sentiment to the Google company ? 
Sweet Ice Cream Sandwich RT @Pocketlint Google Android 4.0 Ice Cream Sandwich officially detailed #google #ics http://t.co/iUY0DF5S",1
293,"Does the following tweet have positive sentiment to the Microsoft company ? 
After I don't know how many years, you still can't copy a #microsoft #word document headings to #powerpoint. #justsaying",0
294,"Does the following tweet have positive sentiment to the Apple company ? 
Pissed with whoever designs keyboards with @apple for not having a home and end key.  working on the CLI i use those keys often",0
295,"Does the following tweet have positive sentiment to the Twitter company ? 
Just hit my hourly usage limit on #twitter. How does that even happen? All I'm doing is listing people...and I was almost done! #ugh",0
296,"Does the following tweet have positive sentiment to the Apple company ? 
My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple.",1
297,"Does the following tweet have positive sentiment to the Apple company ? 
@twitter can you look at problem on iPad where it won't open @ messages. It just crashes the app. You too @apple maybe your fault.",0
298,"Does the following tweet have positive sentiment to the Twitter company ? 
@ammmylewis... Did @CarsonFratus just ditch Twitter for sleep?? #Weirdo... #Twitter&gt;Sleep",1
299,"Does the following tweet have positive sentiment to the Apple company ? 
Comparing @Office #live with @google #apps and @apple #iCloud , I do not see #iCloud leading the crowd. Do you agree ?",0
300,"Does the following tweet have positive sentiment to the Google company ? 
@WPdesignteam @joebelfiore @windowsphone - You guys just taught #Google #Android how to design a decent phone. So much Metro. Good Job guys!",1
301,"Does the following tweet have positive sentiment to the Apple company ? 
Pondering the iOS update... From the sounds of @MikeFerri's difficulties, I may just hold off :/ @Apple, FIX IT!",0
302,"Does the following tweet have positive sentiment to the Apple company ? 
Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f",0
303,"Does the following tweet have positive sentiment to the Apple company ? 
@apple No location reminders on ipad2! That was the point of updating to iOS 5",0
304,"Does the following tweet have positive sentiment to the Microsoft company ? 
RT @bestpantsTen: http://t.co/P4m8xvaz #iPads less desired than #Windows tablets, says study #Apple #Microsoft #MS",1
305,"Does the following tweet have positive sentiment to the Google company ? 
As an iPhone user, I think the Samsung Nexus Galaxy looks great. And Ice Cream Sandwich looks fantastic. http://t.co/Z9IDoNi7 #Google",1
306,"Does the following tweet have positive sentiment to the Microsoft company ? 
I'm on day 80-something of my Xbox LIVE acct being hacked. This is worse than PSN hack. Will I ever get it back? #Microsoft #Xbox #Fail",0
307,"Does the following tweet have positive sentiment to the Apple company ? 
So glad that I paid $69 for this @apple care protection plan.  Been on hold for over 20 minutes now.  Great customer service. #NOT",0
308,"Does the following tweet have positive sentiment to the Apple company ? 
I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's",1
309,"Does the following tweet have positive sentiment to the Google company ? 
#Google People app...the next revolution in stalking.",0
310,"Does the following tweet have positive sentiment to the Google company ? 
All this talk about about how good #icecreamsandwich looks is making me hungry #google #omnomnomnom",1
311,"Does the following tweet have positive sentiment to the Apple company ? 
but seriously @apple finance me a damn phone you greedy bastards! OR Santa...get your jolly ass in gear and get us a 4S - white plz",0
312,"Does the following tweet have positive sentiment to the Apple company ? 
@jane73 @Gazmaz hopefully it's a small bug @Apple must be fixing it. RIGHT  APPLE }:0( 
#itjustworks",0
313,"Does the following tweet have positive sentiment to the Apple company ? 
Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...",1
314,"Does the following tweet have positive sentiment to the Twitter company ? 
I feel all alone on #twitter. #itstolate",0
315,"Does the following tweet have positive sentiment to the Google company ? 
Data usage in ICS.. Looks like I don't need Watchdog 3G Pro anymore.. hah! #Android #ICS #Google",1
316,"Does the following tweet have positive sentiment to the Apple company ? 
what is going on with all my @Apple products?! First my #iPad freezes (still is frozen) and then my #iPhone won't turn on!!! #techieTroubles",0
317,"Does the following tweet have positive sentiment to the Microsoft company ? 
Microsoft Stores offer up free Windows Phone 7 devices #microsoft #microsoftstores: Microsoft's retail stores ar... http://t.co/r2RndN6Y",1
318,"Does the following tweet have positive sentiment to the Microsoft company ? 
Forget Siri, there is still no beating speech commands on @windowsphone: http://t.co/19GAjSGi #wp7 #mango #tellme #microsoft #siri",1
319,"Does the following tweet have positive sentiment to the Twitter company ? 
I'm starting to get really concerned, sending hashtags in emails :P #twitter is taking over our lives :D",1
320,"Does the following tweet have positive sentiment to the Google company ? 
When I'm about to tweet something and I cant remember how to spell I go straight to #Google",1
321,"Does the following tweet have positive sentiment to the Twitter company ? 
There is no social media without #Twitter... Who could be #Twitterless?",1
322,"Does the following tweet have positive sentiment to the Apple company ? 
You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?",0
323,"Does the following tweet have positive sentiment to the Apple company ? 
@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN",1
324,"Does the following tweet have positive sentiment to the Apple company ? 
My schedule is 2 busy 2 spend UNquality time with @ATT @Apple 2 recover Iphone again-The mo' mobile I get the mo' immobile I is. Sync Not!",0
325,"Does the following tweet have positive sentiment to the Apple company ? 
Well @apple seems 2b screwing #iphone 4s resellars. They still dont have 4s. Yet were promised. Similar 2 Ma Bell's monopolistic prctices?",0
326,"Does the following tweet have positive sentiment to the Apple company ? 
Why is the new @apple iPhone OS duplicating all my iCal events? There's 2 of everything. How do I fix it? (tried turning iCloud off)",0
327,"Does the following tweet have positive sentiment to the Microsoft company ? 
Microsoft explains new improvements in Windows 8 Start screen search: http://t.co/pq67GRra #buildingwindows8 @buildwindows8 #tech #microsoft",1
328,"Does the following tweet have positive sentiment to the Microsoft company ? 
http://t.co/PUJYV9c0 With friends like #Billgates and #steveballmet at #microsoft, who needs enemies ;-)",0
329,"Does the following tweet have positive sentiment to the Apple company ? 
@apple, your update server has been timing out for a week. i had to force a restore w/the new #iOS5 software. lost all my stuff. thanks!",0
330,"Does the following tweet have positive sentiment to the Twitter company ? 
RT @TreyHob21: #twitter gives everyone that voice that they believe should be heard by people... unlike real life... lol",1
331,"Does the following tweet have positive sentiment to the Google company ? 
Ready for some Ice Cream Sandwich! #google #android",1
332,"Does the following tweet have positive sentiment to the Twitter company ? 
Dear #Twitter, I fucking missed you today, &gt;&gt; internet was down :/",1
333,"Does the following tweet have positive sentiment to the Apple company ? 
Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY",1
334,"Does the following tweet have positive sentiment to the Apple company ? 
@Apple would do better to inform customers properly about migrating to #iCloud - many complaints lead to #image damage http://t.co/QL7zmPpO",0
335,"Does the following tweet have positive sentiment to the Apple company ? 
@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T",0
336,"Does the following tweet have positive sentiment to the Apple company ? 
Dear @Apple.inc Facetime doesn't work in here, Fuck You",0
337,"Does the following tweet have positive sentiment to the Microsoft company ? 
Interesting read - How #Apple eclipsed #Microsoft http://t.co/hFWpbMY6 via @guardian (cc: @elcheicon)",0
338,"Does the following tweet have positive sentiment to the Apple company ? 
Video card on @Kimaris workstation died after just six months. So long @hp. Hello @apple.",1
339,"Does the following tweet have positive sentiment to the Apple company ? 
9 apps in the AppStore New section aren't new just updated. There should be a rule against that. Also, why is @apple's POS apps always first",0
340,"Does the following tweet have positive sentiment to the Microsoft company ? 
Will watch this one with interest! RT @RossMistry: #Microsoft Codename ""Data Explorer"" CTP Coming Next Month  http://t.co/vpQOyXWa",1
341,"Does the following tweet have positive sentiment to the Google company ? 
Ice cream Sandwich looks awesome #Google #ICS.",1
342,"Does the following tweet have positive sentiment to the Apple company ? 
RT @tomcolontonio: Didn't it occur to @apple #apple that ppl share iTunes accounts amongst family's ?????
Wtf!!!!",0
343,"Does the following tweet have positive sentiment to the Apple company ? 
Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson.",1
344,"Does the following tweet have positive sentiment to the Apple company ? 
@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.",1
345,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Microsoft Lync crash issue on #Mac OS X 10.7.2 [Fixed] - http://t.co/Gjiu2zz1",0
346,"Does the following tweet have positive sentiment to the Apple company ? 
@apple needs to hurry up and release #iTunesMatch",0
347,"Does the following tweet have positive sentiment to the Twitter company ? 
RT @nicolebanyots: #twitter UH, SHOW ME MY RETWEETS, OR ILL GO BACK TO FACEBOOK. K? K.",0
348,"Does the following tweet have positive sentiment to the Apple company ? 
i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple",0
349,"Does the following tweet have positive sentiment to the Google company ? 
Register now for your Galaxy Nexus :) http://t.co/37WkIoXC #Android #Google",1
350,"Does the following tweet have positive sentiment to the Apple company ? 
Dear @Apple, I don't want the newsstand icon on my screen. #notcool",0
351,"Does the following tweet have positive sentiment to the Apple company ? 
OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS",0
352,"Does the following tweet have positive sentiment to the Google company ? 
""Samsung and Google have closely collaborated to push the mobile experience forward. We are pleased to ... http://t.co/ecT8fYIA #Google+",1
353,"Does the following tweet have positive sentiment to the Microsoft company ? 
Distrust and angst amongst #Nokia employees against #Selop #Microsoft fixation. http://t.co/jkOTcrMb",0
354,"Does the following tweet have positive sentiment to the Google company ? 
Great, live contact management, quick contact card, add people directly to.your home screen #Android4.0 #Google",1
355,"Does the following tweet have positive sentiment to the Microsoft company ? 
We have had a great time at #TechEdAfrica thanks to all the sponsors, delegates, #Microsoft and #mimecastsa.",1
356,"Does the following tweet have positive sentiment to the Google company ? 
Mmm... #SmarterPhone RT @Android: Introducing Ice Cream Sandwich, the delicious new version of Android: http://t.co/AXl2K1Gs #ICS #google",1
357,"Does the following tweet have positive sentiment to the Google company ? 
#Google #Android Icecream Sandwich OS for Nexus Prime Released! [LIVE BLOG] | http://t.co/LF03ZKUz #technology #hk",1
358,"Does the following tweet have positive sentiment to the Apple company ? 
So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?",0
359,"Does the following tweet have positive sentiment to the Apple company ? 
Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii",0
360,"Does the following tweet have positive sentiment to the Microsoft company ? 
How #Apple eclipsed #Microsoft http://t.co/KxboqsKj",0
361,"Does the following tweet have positive sentiment to the Google company ? 
There are too many #google services that do not work when you are a #googleapps user. #googleplus above all + profiles + #plusone",0
362,"Does the following tweet have positive sentiment to the Google company ? 
Ouch, crash and burn. #Android facial recognition in #IceCreamSandwich didn't work during the presentation. http://t.co/6vsasZyT #Google",0
363,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Microsoft, #Adobe lose $13.5bn to piracy: Report - The Times of India http://t.co/5IbOBNrH",0
364,"Does the following tweet have positive sentiment to the Apple company ? 
@apple thanks for ios5 - loving having my music breaking up like I'm talking on a mobile (cell) phone. Bring back functional 4 #iosdonwgrade",0
365,"Does the following tweet have positive sentiment to the Twitter company ? 
twitter just helped me find the song from the end of a TV show i just watched. #Twitter &gt; ...",1
366,"Does the following tweet have positive sentiment to the Microsoft company ? 
Unmindful Ballmer, collects half a billion, doesn't say thank you.  http://t.co/lwtpXejo #android #google #microsoft",0
367,"Does the following tweet have positive sentiment to the Apple company ? 
@Apple - why do I have to have apps I am updating in their original 'folder' location? That was painful.",0
368,"Does the following tweet have positive sentiment to the Google company ? 
#IceCreamSandwich went way and beyond what I expected. Can't wait to get it on my Nexus to play with! #Google",1
369,"Does the following tweet have positive sentiment to the Apple company ? 
I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN",0
370,"Does the following tweet have positive sentiment to the Twitter company ? 
My Facebook messed up and I had to make a new one so... add me! Haha at least #twitter is reliable",1
371,"Does the following tweet have positive sentiment to the Google company ? 
http://t.co/Pl4ZeEvH - Ice Cream Sandwich to stop carriers bullying smartphone users #google #android http://t.co/BgKiMGJF",1
372,"Does the following tweet have positive sentiment to the Apple company ? 
Finally got the @apple IPhone thanks to @sprint getting with the times",1
373,"Does the following tweet have positive sentiment to the Apple company ? 
Waited in line for nothing, fucking genius @Apple called an app for ""John"" not ""jean"" stop fucking up my name im not a French boy. #PCam ...",0
374,"Does the following tweet have positive sentiment to the Microsoft company ? 
#skype is ruining the friendship with your aggressive #microsoft type selling. If i need something i'll ask. Thank you...",0
375,"Does the following tweet have positive sentiment to the Google company ? 
There you go - according to http://t.co/4Y8aS4zz #Google+ is builtin to the OS/Nexus line? Smart move :)",1
376,"Does the following tweet have positive sentiment to the Apple company ? 
…and only the first 23 images in my Photo Roll made it over? Seriously, @apple, how did you fuck this up so much?",0
377,"Does the following tweet have positive sentiment to the Apple company ? 
Had issues with #Siri reaching network today. Too many uses or my signal? @apple",0
378,"Does the following tweet have positive sentiment to the Twitter company ? 
Who the hell uses #twitter on a tv man. #panasonic #epicfail.",0
379,"Does the following tweet have positive sentiment to the Apple company ? 
Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh",0
380,"Does the following tweet have positive sentiment to the Apple company ? 
I love our @apple imac even though I haven't seen my hubby in 3 days now! #geek",1
381,"Does the following tweet have positive sentiment to the Apple company ? 
RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple",1
382,"Does the following tweet have positive sentiment to the Apple company ? 
@apple domain fail. Open 2 hrs late for walk in ppl. Store was empty and i only need a skin 4 my screen. You represent customer service FAIL",0
383,"Does the following tweet have positive sentiment to the Google company ? 
@immad_immad #google, always thinking ahead",1
384,"Does the following tweet have positive sentiment to the Microsoft company ? 
I am quickly falling in love with #Apple #iCloud. Finally a web-based solution to wave my old #Microsoft Outlook bye-bye",0
385,"Does the following tweet have positive sentiment to the Apple company ? 
Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D",1
386,"Does the following tweet have positive sentiment to the Twitter company ? 
#Twitter are you freaking kidding me #wth... http://t.co/zKn2bu5R",0
387,"Does the following tweet have positive sentiment to the Google company ? 
Also, the #Google problem. @chucktodd: Problem for Santorum's electability argument: the double-digit loss in 2006",0
388,"Does the following tweet have positive sentiment to the Apple company ? 
Great up close & personal event @Apple tonight in Regent St store!",1
389,"Does the following tweet have positive sentiment to the Google company ? 
Unbelievable Data Usage info on Ice Cream Sandwich

#icecreamsandwich #googland #google #android #ics",1
390,"Does the following tweet have positive sentiment to the Apple company ? 
@Joelplane @apple I hear you! I've had trouble with my 3 & now 4. I've even turned down brightness. #andshuttingdownrunningprograms #nohelp",0
391,"Does the following tweet have positive sentiment to the Microsoft company ? 
Dear #Microsoft, I should only have to hit the Windows update button *once* when manually running updates, not 4 or 5 times. #sysadmin",0
392,"Does the following tweet have positive sentiment to the Google company ? 
New Galaxy Nexus: App Improvements -  Inbuilt Panoramic Pictures #nexus #samsung #google #android bit.ly/nEJbyE",1
393,"Does the following tweet have positive sentiment to the Apple company ? 
I'm givin' this stupid @apple reserve system 2days… If I cant get reservation, I'll never buy any Apple products… (yup I hate contracts)",0
394,"Does the following tweet have positive sentiment to the Apple company ? 
Only thing #iOS.5 has done is deleted my tiger woods game and made impossible to retrieve. Thanks @Apple!",0
395,"Does the following tweet have positive sentiment to the Apple company ? 
Seriously - I have absolutely no offing clue what @Apple means by ""authorization"", nor how to do it.",0
396,"Does the following tweet have positive sentiment to the Microsoft company ? 
Is #Microsoft just another evil corporation? Beware when it comes to buying a #Windows8 PC http://t.co/QbgXXJMm",0
397,"Does the following tweet have positive sentiment to the Apple company ? 
FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.",0
398,"Does the following tweet have positive sentiment to the Apple company ? 
The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace",1
399,"Does the following tweet have positive sentiment to the Twitter company ? 
RT@jeffbullas Twitters impressive numbers  http://t.co/VJRSsfYn #Twitter #SMM #SocialMedia",1
400,"Does the following tweet have positive sentiment to the Apple company ? 
iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes",1
401,"Does the following tweet have positive sentiment to the Twitter company ? 
i love my background!! #twitter",1
402,"Does the following tweet have positive sentiment to the Twitter company ? 
@BrianCrockerJr yeah, it shows. glad you have #twitter :)",1
403,"Does the following tweet have positive sentiment to the Apple company ? 
Wtf @apple 64 pages for the new terms & conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???",0
404,"Does the following tweet have positive sentiment to the Twitter company ? 
#Twitter.... Side Affects include: Procrastination, No Sleep, Unable to Focus on ANYTHING, Subtweeting, RT, TT, and Low Batteries",0
405,"Does the following tweet have positive sentiment to the Google company ? 
what i love about #GOOGLE it always shows me that am not the only retarded person on this planet when am searching for stupid things :D",1
406,"Does the following tweet have positive sentiment to the Apple company ? 
loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology",1
407,"Does the following tweet have positive sentiment to the Apple company ? 
One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple)",1
408,"Does the following tweet have positive sentiment to the Google company ? 
Youtube video views are still not updating properly. #google #youtube #fail",0
409,"Does the following tweet have positive sentiment to the Microsoft company ? 
enjoy  #Microsoft #Search Idea Could Let You Search Like Miley http://t.co/GWOkOCEg great",1
410,"Does the following tweet have positive sentiment to the Apple company ? 
@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry",1
411,"Does the following tweet have positive sentiment to the Google company ? 
Very nice trivia game by #Google. Helps you use their search better http://t.co/c5Tu3dZK #fb",1
412,"Does the following tweet have positive sentiment to the Apple company ? 
So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.",1
413,"Does the following tweet have positive sentiment to the Apple company ? 
+1  RT @Doug_Newton: @apple PLEASE FIX #Siri!!!! She can't connect to your network!!!!!!!",0
414,"Does the following tweet have positive sentiment to the Microsoft company ? 
Hey parents!Did you know about the free tools from #Microsoft that help keep your kids safe online?Live Family Safety http://t.co/5pk1et6r",1
415,"Does the following tweet have positive sentiment to the Apple company ? 
Ok this @Apple software update for the #iphone is taking waaaaay too long!
#annoyed",0
416,"Does the following tweet have positive sentiment to the Apple company ? 
RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}",1
417,"Does the following tweet have positive sentiment to the Apple company ? 
@trisha_ps @iCloud is Cloudy. @apple tech, not very techy.",0
418,"Does the following tweet have positive sentiment to the Google company ? 
New Galaxy Nexus: OS Improvements -  Built on Ice Cream Sandwich version of Android #nexus #samsung #google #android bit.ly/nEJbyE",1
419,"Does the following tweet have positive sentiment to the Microsoft company ? 
http://t.co/zBLtZ5MW German Federal #Trojan's got a BigBrother. #Gov spying on its people, #Microsoft's 32bit/64bit #Windows is target",0
420,"Does the following tweet have positive sentiment to the Google company ? 
Not impressed much with the new Android update. But good signs: a readable font, emphasis on design, and less nerdiness. #google",1
421,"Does the following tweet have positive sentiment to the Microsoft company ? 
Maybe #apple could use some of it's billions to do some good in the world?...oh wait, that's what #microsoft does.",1
422,"Does the following tweet have positive sentiment to the Google company ? 
RT @SamsungMobileCA: Raise your hand if you now want an #Android4 #IceCreamSandwich powered #GALAXYNexus phone! #Google #Samsung",1
423,"Does the following tweet have positive sentiment to the Apple company ? 
9% now on my second full charge of the day. Pissed @Apple",0
424,"Does the following tweet have positive sentiment to the Apple company ? 
The new iOS5 completely failed at upgrading the phone. Now I'm stuck in this restore loop. Thanks @apple for wasting my day. Can i undo?",0
425,"Does the following tweet have positive sentiment to the Apple company ? 
@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx",0
426,"Does the following tweet have positive sentiment to the Google company ? 
Very nice trivia game by #Google. Helps you use their search better http://t.co/ikN087ZE",1
427,"Does the following tweet have positive sentiment to the Google company ? 
I gotta say, Google's got some pretty catchy advertisements for Android and Chrome. #google #android",1
428,"Does the following tweet have positive sentiment to the Google company ? 
New Galaxy Nexus: OS Improvements -  Stacks & Scrolling introduced for widgets  for richer content #samsung #google #android bit.ly/nEJbyE",1
429,"Does the following tweet have positive sentiment to the Apple company ? 
RT @JDougyJ: hey @apple do you wanna fix my fucking playlist order, you piece of shit",0
430,"Does the following tweet have positive sentiment to the Apple company ? 
@apple, why is it every time there is iOS software update my iPad goes dead and I need to totally restore? #fail",0
431,"Does the following tweet have positive sentiment to the Apple company ? 
Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol",1
432,"Does the following tweet have positive sentiment to the Apple company ? 
Love my new I0S5 @Apple updates. Just when I think it can't get any better somehow it simplifies my life more. That's right-it's an Apple.",1
433,"Does the following tweet have positive sentiment to the Microsoft company ? 
#Buffalo, #Intel, #Microsoft, #IBM are the best pavilions at #SMAU",1
434,"Does the following tweet have positive sentiment to the Apple company ? 
RT @imightbewrong: I'm OVER people bitching about the #iPhone4S... I think it's the smartest phone I've ever had and I'm very happy.   : ...",1
435,"Does the following tweet have positive sentiment to the Twitter company ? 
#Twitter TEAMO♥ Chao!",1
436,"Does the following tweet have positive sentiment to the Apple company ? 
Overall I am a fan of the iPhone 4S; however, my Siri has issues connecting to the network @Apple",0
437,"Does the following tweet have positive sentiment to the Apple company ? 
just my man @apple store in @schaumburg, whoops!!!!😁",1
438,"Does the following tweet have positive sentiment to the Google company ? 
just watched the #GalaxyNexus announcement by #Google and #Samsung.. The only thing keeping me from buying? It's only on #Verizon. #FAIL",0
439,"Does the following tweet have positive sentiment to the Apple company ? 
Ok @iTunesMusic idk wth is up but after syncing my phone my album art is out of order! WTF @Apple!",0
440,"Does the following tweet have positive sentiment to the Twitter company ? 
RT @FuckingShinez: #Twitter = #Dead ""this is why im never on it now""",0
441,"Does the following tweet have positive sentiment to the Apple company ? 
Good support fm Kevin @apple #Bellevue store 4 biz customers TY!",1
442,"Does the following tweet have positive sentiment to the Apple company ? 
Ugh. WTF is up with all the bottlenecks @paypal @apple?",0
443,"Does the following tweet have positive sentiment to the Apple company ? 
hey @apple do you wanna fix my fucking playlist order, you piece of shit",0
444,"Does the following tweet have positive sentiment to the Twitter company ? 
#Twitter got DEAD as fuck all of a sudden!!!",0
445,"Does the following tweet have positive sentiment to the Google company ? 
Just seen a taste of #Google's ice cream sandwich, now I want a bite",1
446,"Does the following tweet have positive sentiment to the Apple company ? 
Thank you @apple for Find My Mac - just located and wiped my stolen Air. #smallvictory #thievingbastards",1
447,"Does the following tweet have positive sentiment to the Google company ? 
I can't wait to get the new #Galaxy #Nexus with #IceCreamSandwich... best yet it supports my #Google Wallet http://t.co/bqMuHxkK via @cnet",1
